Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Ephekles,,22,63.60%,3.6,0.9,3.6,12,0.9,259,68.40%,6.5,198,3.11,1.48,0.32,0.32,-104,-3,-382,45.50%,4.50%,0,1
Erdote,,34,64.70%,3.6,0.8,2.8,9.1,1.1,255,71.90%,7.8,202,3.36,1.77,0.38,0.47,-5,1,29,29.40%,14.70%,0,-
Erol,,2,0%,2.6,4.5,2.5,2,9,405,55.30%,27.2,557,0.52,0.25,0.09,0.11,-290,-10,-363,0%,50%,0,-
Ersin,,24,54.20%,3.5,3.5,2.6,5.5,7.9,409,50.80%,20.7,556,1.03,0.48,0.16,0.13,394,8,79,25%,12.50%,0,12
Escik,,26,53.80%,2.9,3.6,2.8,4.8,9,428,62.30%,27.7,735,1.16,0.43,0.26,0.15,-22,-2,-82,26.90%,3.80%,0,10
Esko,,14,14.30%,2.8,3.9,2.6,3.4,9.2,416,67.40%,27.4,650,1.09,0.36,0.34,0.1,87,4,-55,28.60%,7.10%,0,4
Ethe,,7,28.60%,2.4,3.3,3.6,5.1,8.3,403,58.90%,20.8,564,0.79,0.31,0.11,0.14,796,15,267,28.60%,0%,0,2
Eugeo,,22,36.40%,3.2,3.1,2.4,4.7,8.8,407,59.30%,25,634,1.03,0.49,0.16,0.24,-862,-11,-326,18.20%,9.10%,0,5
Evaan,,18,33.30%,2.8,3.9,3.4,5.7,8.5,429,67.30%,27.2,704,1.05,0.41,0.22,0.11,-239,-5,26,16.70%,27.80%,0,6
Evan,,5,0%,2.2,0.8,4.2,8.6,3,249,73.30%,11,198,1.97,0.8,0.29,0.27,-64,23,366,20%,0%,0,1
Evi,,34,79.40%,3.6,3,3.1,7.9,7,376,55.20%,19.5,606,1.02,0.4,0.16,0.16,273,5,170,29.40%,8.80%,0,20
Exduardo,,13,7.70%,1.3,2.7,4.5,3.3,8.4,388,58.50%,24.3,539,0.6,0.24,0.17,0.03,-826,-8,-548,7.70%,30.80%,0,-
Execute,,45,44.40%,2.7,0.6,3.9,9.9,1.1,246,75.50%,6.3,167,3.43,1.95,0.37,0.52,-106,-10,-510,31.10%,22.20%,0,-
Exile1,,13,30.80%,1.8,1.5,4.5,6.6,5,312,59.80%,13.3,288,1.19,0.26,0.28,0.25,-748,-15,-647,46.20%,7.70%,0,-
Eyla,,22,45.50%,2.6,0.6,3.6,8.6,1.7,258,67.40%,7,185,3.28,1.69,0.36,0.44,1,12,235,27.30%,9.10%,0,-
Eyliph,,18,38.90%,2.6,3.3,3.3,5.2,7.3,378,55.80%,20.7,579,0.96,0.38,0.16,0.1,-204,-7,-143,11.10%,11.10%,0,10
FATE,,19,21.10%,2.9,2.3,2.3,4.2,9,402,62.90%,28.4,627,1.18,0.42,0.27,0.17,-51,-5,-89,31.60%,0%,1,2
FBI,,24,33.30%,3.4,3.2,2.6,5.5,8.9,402,71%,26.2,650,1.05,0.44,0.2,0.14,-324,4,70,20.80%,4.20%,0,1
FENZ1,,7,28.60%,2.3,3.4,3.4,4.6,8.8,397,75.80%,28,592,1.32,0.41,0.33,0.16,-370,0,-295,14.30%,14.30%,0,1
FGG,,14,28.60%,3.1,0.4,3,8.9,0.8,226,76.90%,6.7,152,3,1.55,0.32,0.46,-11,-5,-268,21.40%,14.30%,0,-
FIERCE,,36,58.30%,4,4.3,2.2,4.7,9.7,457,56.50%,26.1,723,0.7,0.3,0.15,0.05,-27,1,36,5.60%,8.30%,0,17
FIESTA,,41,63.40%,3.2,4.1,3.3,6.2,9,444,64.70%,29.8,796,1.21,0.43,0.25,0.19,318,11,99,26.80%,17.10%,0,32
FIuffy,,14,50%,4,3.2,3.2,9.6,6.6,372,74.90%,14,393,1.49,0.32,0.35,0.3,-64,3,38,35.70%,0%,0,-
FUN k3y,,30,60%,3.2,5.6,3.3,5,9.6,472,67.30%,29.3,814,1.24,0.39,0.34,0.12,673,11,428,20%,3.30%,1,8
Fade,,33,51.50%,2.8,3,2.9,5.2,9.1,415,55.60%,23.8,552,0.99,0.4,0.17,0.12,-331,-4,-84,24.20%,3%,0,5
Faded,,12,8.30%,2,3.2,4.4,5.8,8.3,396,70.60%,35,843,1.05,0.43,0.14,0.08,-199,-4,26,8.30%,41.70%,0,4
Faetski,,19,42.10%,3.4,3.9,2.7,5.3,9.5,436,70.10%,26.9,694,0.97,0.35,0.28,0.07,-185,-1,-15,31.60%,5.30%,0,1
Faisal,,28,57.10%,3.4,3.1,2.5,5.3,7.9,394,51.10%,19.1,521,0.93,0.43,0.12,0.13,221,0,188,14.30%,10.70%,0,10
FakeGod,,16,25%,2.6,1.9,2.4,4.4,7.2,343,53.10%,19.4,435,1.01,0.39,0.2,0.22,-238,-3,85,0%,6.30%,0,-
Faker,,58,60.30%,3.8,3.1,2.1,5,9.5,430,60%,26.1,642,1.17,0.44,0.28,0.13,-28,0,-12,19%,10.30%,0,13
Fallen,,27,55.60%,3.7,2.1,2.9,8.8,5.6,339,74.40%,17.9,462,1.33,0.28,0.32,0.28,-155,-7,-360,51.90%,3.70%,0,5
Falleo,,21,47.60%,2.9,2,3,6.5,6.9,351,48.60%,18.9,516,0.96,0.35,0.14,0.11,-47,-9,-148,28.60%,4.80%,0,3
Farfetch,,33,57.60%,2.7,0.8,4.7,11.8,0.9,248,69.60%,7.2,178,3.28,1.65,0.34,0.42,41,0,-25,27.30%,9.10%,0,-
Fastlegged,,14,50%,3.4,1.2,3.4,10.4,0.9,243,65.70%,6.4,176,2.98,1.48,0.25,0.32,-326,-10,-331,0%,28.60%,0,-
FatihCan,,18,33.30%,3.2,4.7,3.2,5.6,8.2,412,69.80%,25.2,628,0.8,0.31,0.2,0.07,-185,1,2,27.80%,5.60%,0,2
Feather,,32,59.40%,3.2,0.5,3.5,10.7,1.1,248,75.40%,5.9,154,3.43,1.93,0.39,0.66,-103,-,-,-,-,-,-
Febiven,,18,22.20%,2.9,3.3,2.8,4.7,9.3,431,64.80%,27.5,640,1.06,0.44,0.22,0.1,-176,-1,-130,5.60%,11.10%,0,3
Fede,,22,59.10%,5.7,4.4,1.8,6,8.8,422,61.50%,27.1,663,1.24,0.47,0.23,0.17,-469,-6,-63,13.60%,4.50%,0,5
Feisty,,25,44%,3.9,3.3,2.3,5.8,9.1,426,70.40%,29.4,680,1.08,0.42,0.26,0.22,340,9,189,16%,8%,0,6
Fendras,,2,50%,4.6,1,2.5,10.5,0.9,239,68.70%,7.4,190,2.67,1.6,0.11,0.46,-110,8,479,0%,0%,0,-
Feng,,36,52.80%,3.5,4.6,3.2,6.6,8,425,65.40%,25.3,762,1.29,0.55,0.28,0.2,71,1,-19,30.60%,11.10%,0,17
Feringhee,,6,0%,0.9,0.7,4,3,7,324,42.50%,22.2,389,0.69,0.3,0.1,0.11,-719,-17,-400,0%,16.70%,0,2
Ferret,,29,51.70%,4,3.3,2.6,6.9,6.5,365,70.80%,20.5,518,1.83,0.46,0.46,0.26,228,3,-47,55.20%,3.40%,0,4
Findo,,16,37.50%,1.8,1.3,5.6,8.6,1.2,262,63.10%,8.6,233,2.74,1.42,0.23,0.35,-391,-8,-725,12.50%,18.80%,0,1
Fine4Ever,,17,5.90%,1.7,1,4.5,6.9,2.1,254,70.40%,9.9,228,2.53,1.22,0.3,0.31,-25,17,219,23.50%,5.90%,0,-
Finn,,10,20%,1.8,1.9,3.2,4,7.6,363,58.40%,23,485,0.93,0.39,0.11,0.19,184,-1,-31,20%,20%,0,-
FireAscept,,26,57.70%,4.1,3.9,2.7,7.2,8.7,421,60.50%,24.4,618,1.31,0.44,0.24,0.18,-84,3,9,23.10%,11.50%,0,15
Fisher,,33,36.40%,2.6,3.4,2.9,4.2,9.4,425,65.70%,29.6,690,1.1,0.45,0.24,0.21,-29,-1,-60,18.20%,18.20%,0,4
Fla01,,14,21.40%,2,0.6,4.6,8.7,1.3,242,77.80%,7.5,172,2.43,1.22,0.24,0.31,-42,-3,310,35.70%,21.40%,0,1
Flakked,,14,28.60%,3.9,4.4,2.1,3.9,9.7,438,72.20%,28.6,611,1.76,0.61,0.47,0.19,58,-4,-92,28.60%,7.10%,0,2
Flamer,,18,33.30%,2.8,1.9,2.6,5.3,8.2,372,51.40%,20.3,477,0.71,0.38,0.08,0.1,-86,4,8,5.60%,11.10%,0,6
Flamyy,,14,21.40%,1.9,2.4,4.1,5.4,5.7,334,66.70%,15,369,0.98,0.15,0.27,0.2,-143,-8,-260,28.60%,14.30%,0,-
Flandre,,11,72.70%,3.8,2.6,2.6,7.5,7.5,384,61%,20.8,550,0.98,0.34,0.16,0.19,384,-,-,-,-,-,-
Flare,,26,53.80%,5,4.4,2,5.6,8.9,418,56.40%,24.1,648,1.07,0.44,0.25,0.14,-74,2,26,15.40%,3.80%,0,3
Flarke,,2,50%,3.3,2.5,2,4,8.5,421,63.30%,22.9,478,1.07,0.21,0.32,0.13,-410,-8,-317,0%,50%,0,-
Flawed,,20,45%,3.1,2.2,3.6,8.9,6.6,364,74.10%,19.4,574,1.25,0.28,0.27,0.11,128,17,740,30%,25%,0,5
Fleshy,,38,73.70%,3.6,1.1,3.7,12.1,1.2,273,74.70%,8.1,233,3.77,1.9,0.56,0.48,238,1,200,26.30%,18.40%,0,2
FlickeR,,33,60.60%,7.6,5,1.4,5.8,9.6,456,66.30%,26.3,655,1.08,0.33,0.33,0.04,-45,3,-41,27.30%,3%,1,6
FoFo,,29,37.90%,3.5,3.4,2,3.8,9.3,425,67.50%,29.2,666,1.35,0.49,0.34,0.15,-59,-,-,-,-,-,-
Fooneses,,18,11.10%,2.1,3.9,3.9,4.3,8.6,414,66.80%,31.6,757,1.11,0.44,0.23,0.12,-201,-7,-316,38.90%,11.10%,0,5
Forest,,34,79.40%,4.1,3.9,3.4,10.3,7.2,408,72.20%,22.8,677,1.94,0.68,0.42,0.28,323,10,501,29.40%,5.90%,0,3
