Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Lundqvist Lightside,S14,EUW,14,50.00%,1.17,1843,-40,32:12:00,18.1,15.5,6.4,6.3,21.4,42.9,2.5,51.4,3.1,0.5,50,0.64,0.1,-811,3.57,0.57,39.3,32.3,2761,2.8,0.75,1.21
Lupus Esports,S14,RS,14,35.70%,0.82,1782,-130,29:20:00,14,17.1,5.2,7.1,42.9,28.6,1.5,36.3,3.2,0.86,85.7,0.71,-0.2,-1301,3.79,0.43,35.7,30.4,2192,2.6,0.95,1.01
Lynch Esports,S14,TR,21,57.10%,0.98,1929,57,30:21:00,18.9,19.2,6.6,5.7,28.6,57.1,2.24,53.6,2.5,0.24,25,0.81,0,-31,5.14,0.76,47.6,32.6,2972,2.5,0.6,0.95
Macko Esports,S14,IT,44,70.50%,1.18,1974,198,30:10:00,16.5,14,8.1,4.3,50,61.4,2.36,60.4,4,0.7,70.5,1.09,0.5,805,6.09,1,75.8,33.7,2981,3.3,0.97,1.39
MAD Lions KOI,S14,EUW,26,38.50%,0.92,1832,-62,33:41:00,14,15.2,6.3,6.8,50,42.3,2.5,55.4,2.4,0.62,66.7,0.84,0.2,425,4.56,0.62,37.2,33.6,2387,3.4,1.23,1.74
MAMMOTH,S14,OCE,14,21.40%,0.61,1778,-352,26:10:00,14.7,24,3.9,8.1,50,35.7,1.43,36.9,2.8,0.36,38.5,0.71,-1,-1697,5.5,0.21,25,29.2,2517,2.3,0.71,0.84
MattyUSA LODIS,S14,PL,14,28.60%,0.85,1773,-137,29:39:00,12.1,14.1,4.7,7.4,71.4,42.9,1.64,43.1,1.4,0.21,23.1,1.14,-0.6,-1396,2.71,0.57,46.4,31.7,2443,2.9,0.85,1.15
mCon esports,S14,BE,36,58.30%,1.17,1900,102,30:55:00,15.8,13.4,6.9,5.2,38.9,61.1,2.36,59.3,3.4,0.53,52.8,1.08,0.3,877,4.94,0.69,54.2,32.8,2758,3.4,1.07,1.33
MGN Blue Esports,S14,VN,29,37.90%,0.83,1879,-88,29:05:00,14.9,18,5.4,6.8,55.2,41.4,2.03,49.8,2.8,0.62,62.1,0.79,-0.4,-652,4.38,0.62,40.7,33.7,2825,3.7,1.31,1.62
MHSC Esport,S14,FR,28,64.30%,1.32,1885,79,33:08:00,18.6,14,6.9,6.3,60.7,53.6,2.93,58.7,3.1,0.57,57.1,1.14,0,570,4.57,0.86,54.3,32.5,2749,3.4,1.16,1.3
Misa Esports,S14,TR,33,57.60%,1.21,1874,39,34:15:00,17.9,14.8,6.8,6.1,39.4,45.5,2.39,48.8,2.8,0.42,42.4,0.7,-0.1,-206,4.36,1.09,57.6,32.7,2515,3,0.98,1.37
MOUZ NXT,S14,DE,18,22.20%,0.61,1727,-264,29:11:00,12.4,20.2,4.2,8.1,27.8,27.8,1.72,40.8,2.7,0.28,27.8,1.17,-0.2,-2091,3.72,0.33,27.8,30.7,2387,2.6,0.8,1.28
Movistar KOI,S14,ES,33,60.60%,1.18,1846,46,30:58:00,14.4,12.2,6.5,5.8,48.5,36.4,2.36,55.7,2.8,0.39,39.4,1,-0.1,143,4.21,0.82,54.4,33.4,2613,3,0.95,1.26
Movistar R7,S14,LAT,32,71.90%,1.31,1960,174,30:48:00,17.4,13.3,7.5,4.6,62.5,71.9,2.66,67.7,3.6,0.59,59.4,0.88,0.5,1584,5.81,0.81,68.3,34.5,2983,3.5,1.2,1.62
Myth Esports,S14,BE,23,60.90%,1.12,1886,102,30:03:00,13.7,12.2,6.5,5.2,65.2,52.2,2.48,61.1,3.5,0.7,69.6,1.04,0,687,3.96,0.83,64.3,33.8,2421,3,1.06,1.43
NASR eSports Turkey,S14,TR,14,28.60%,0.76,1797,-138,31:42:00,12.4,16.3,5.1,7.8,50,42.9,2.07,46.8,1.9,0.5,50,0.93,0.1,-460,4,0.64,35.7,33.1,2193,3.6,1.16,1.25
Nativz,S14,EUW,14,28.60%,0.79,1834,-96,29:51:00,14.3,18,4.8,7.2,64.3,64.3,2.29,53.7,3.3,0.43,42.9,0.93,0.4,184,4.36,0.64,42.9,32.3,2432,2.8,0.49,1
Nigma Galaxy Male,S14,AL,29,55.20%,0.97,1930,62,29:36:00,17.1,17.6,6.4,5.6,44.8,51.7,2.1,50.1,2.9,0.48,48.3,1,-0.3,-484,5.38,0.69,50.4,33.5,2820,2.8,0.9,1.3
Ninjas in Pyjamas,S14,CN,54,46.30%,0.98,1850,-28,31:59:00,13.6,13.9,6.2,6.2,51.9,40.7,2.13,48.6,2.6,0.44,44.4,-,-,314,-,0.63,44,34,2765,3.7,1.17,1.7
NNO Prime,S14,DE,46,52.20%,0.99,1904,38,32:43:00,16.6,16.7,6.9,6.5,54.3,60.9,1.96,43.4,3.3,0.65,65.2,0.57,0.2,730,5.61,1.09,60.2,33.2,2794,3.1,0.93,1.44
NONAME,S14,TR,32,68.80%,1.18,1966,146,32:56:00,20.6,17.3,7.7,5.3,46.9,78.1,2.69,57.4,3.5,0.44,43.8,0.97,0.3,1171,4.56,1.09,63.8,32.7,2747,2.6,0.78,1.11
Nongshim RedForce,S14,KR,40,32.50%,0.67,1767,-181,31:25:00,10.3,15.2,4.7,7.4,42.5,27.5,1.7,38.2,2.5,0.28,27.5,0.68,-0.3,-1387,3.4,0.58,37.5,33.9,2341,3.5,1.37,1.56
Nord Esports,S14,EUW,31,58.10%,1.04,1886,33,31:44:00,16.1,15.4,7.1,5.9,54.8,61.3,2.1,48.5,3.4,0.58,58.1,0.77,0,-150,4.35,0.84,51.4,33,2719,3.3,0.95,1.15
NRG,S14,NA,24,33.30%,0.77,1758,-153,33:29:00,12.5,16.2,4.8,7.4,45.8,37.5,2.04,41,3.4,0.42,43.5,0.75,-0.3,-844,4.58,0.54,29.9,32.8,2471,3.6,1.15,1.46
NS Challengers,S14,KR,43,39.50%,0.84,1802,-100,31:47:00,11.4,13.4,5.5,7,34.9,41.9,2.3,49,2.8,0.3,30.2,0.79,-0.3,-1019,3.67,0.63,39.3,33.9,2421,3.3,1.19,1.76
Odivelas Sports Club,S14,PT,14,35.70%,0.84,1749,-159,30:52:00,13.8,16.4,5,6.8,57.1,35.7,2.5,56.5,2.4,0.36,35.7,0.93,-0.4,-1509,2.86,0.57,42.9,30.9,2254,2.6,0.63,1.09
OGC Esports,S14,CZ,14,21.40%,0.78,1805,-151,33:38:00,14.4,18.4,5.1,8.1,57.1,50,1.71,34.6,2.3,0.5,50,0.64,-0.1,-557,3.5,0.5,31,32.3,2443,2.8,0.76,1.24
OK BRION,S14,KR,41,19.50%,0.63,1730,-241,31:07:00,9.7,15.5,3.4,8.2,58.5,26.8,1.37,31.4,2.5,0.46,46.3,0.78,-0.5,-1286,3.07,0.39,31.1,33.7,2235,3.5,1.5,1.68
OMG,S14,CN,34,41.20%,0.82,1819,-95,31:46:00,12.6,15.3,5.3,6.9,41.2,32.4,1.82,40.4,2.9,0.32,32.4,-,-,-492,-,0.65,44.9,34.1,2408,3.8,1.39,1.74
Once Upon A Team,S14,BE,14,21.40%,0.58,1707,-296,27:24:00,9.4,16.3,3.4,8.4,50,21.4,0.71,17.2,1.1,0.29,28.6,0.43,-0.6,-1842,2.29,0.21,19.2,32.2,2079,2.5,0.68,1.01
One More Esports,S14,AL,14,14.30%,0.54,1736,-348,29:34:00,13,24.1,3.2,9.1,35.7,14.3,1.21,24.8,2.1,0.21,21.4,0.5,-0.6,-2232,3.93,0.29,17.9,31,2550,2.7,0.7,1.03
Only Heroes Academia,S14,TR,24,54.20%,1.09,1910,77,32:06:00,17.5,16,6.8,5.6,62.5,45.8,1.63,37.4,4,0.58,58.3,0.42,0,395,4.67,0.96,59.8,32.9,2661,2.6,0.86,1.02
Orbit Anonymo,S14,PL,14,28.60%,0.68,1756,-175,30:52:00,10.6,15.7,4.7,8.2,50,35.7,1.43,31.2,2.4,0.5,50,0.5,-0.1,-1332,3.71,0.21,17.9,33.1,2243,3.1,0.85,1.33
Oxygen Gaming,S14,ES,14,28.60%,0.78,1816,-87,33:30:00,14.7,18.9,5.9,6.9,57.1,64.3,1.93,39.7,3.3,0.29,30.8,0.36,0.4,1011,5.64,0.43,30.8,33.6,2516,2.7,0.86,1.31
paiN Academy,S14,BR,26,80.80%,1.95,2017,321,30:01:00,20.1,10.3,8.1,3.3,50,61.5,2.69,68.1,3.2,0.62,61.5,1.19,0.3,1937,4.38,0.81,79.5,34.1,2853,3.4,1.3,1.68
paiN Gaming,S14,BR,25,80.00%,1.67,1920,198,30:20:00,17.4,10.4,7.3,4.3,76,84,2.84,64.8,2.6,0.48,48,1.04,0.4,1566,5.16,1,81.9,33.3,2708,3.7,1.24,1.51
Papara SuperMassive,S14,TR,41,63.40%,1.12,1952,132,31:01:00,16,14.2,7.1,5,48.8,48.8,2.17,53.4,4.2,0.63,63.4,0.68,0.2,966,4.61,0.88,61.3,35.2,2688,3.6,1.1,1.39
Parakeet Gaming,S14,CZ,14,42.90%,0.88,1856,-25,30:19:00,13.3,15.1,6.5,6.6,57.1,28.6,1.86,46.3,2.8,0.29,28.6,0.86,-0.5,-805,3.43,0.64,46.4,33.7,2242,2.7,0.7,1.22
Partizan Esports,S14,RS,33,60.60%,1.52,1859,112,31:09:00,15.7,10.3,6.5,5.1,60.6,45.5,2.18,49.3,2.9,0.61,60.6,0.88,-0.1,144,3.24,0.94,68.2,32.5,2472,2.5,0.86,1.28
PCIFIC Espor,S14,TR,16,25.00%,0.77,1719,-220,32:58:00,12.9,16.6,3.9,8.6,50,31.3,1.81,37.1,2.3,0.38,37.5,0.81,-0.3,-1598,2.81,0.56,30.2,31.7,2039,2.8,0.88,1.08
Phoenix Esports,S14,TR,28,78.60%,1.41,1977,237,32:55:00,18.3,13,8.6,4.4,57.1,53.6,3.07,62.8,3,0.68,67.9,1.07,0,1217,4.86,1.14,70.2,33.8,2781,2.8,0.87,1.23
PRINCIPALITY,S14,ES,14,21.40%,0.62,1709,-260,30:07:00,11.7,18.9,3.8,8.3,50,28.6,2.57,60.6,0.9,0.21,21.4,1.43,-0.4,-816,3.64,0.57,36.9,30.6,2422,2.6,0.86,1.14
Project Conquerors,S14,FR,21,38.10%,0.86,1842,-108,31:21:00,17.7,20.6,5,7.5,42.9,38.1,2.38,51.7,2.1,0.48,50,1.1,-0.4,-369,4.67,0.67,34.1,30.6,2662,2.9,0.92,1.3
PSG Talon,S14,PCS,28,89.30%,2.22,2074,390,28:23:00,18,8.1,8.9,2.4,64.3,78.6,2.04,53,4.4,0.54,55.6,0.61,0.7,3101,5.82,0.82,78.8,36.2,2942,3.6,1.16,1.81
RA AD,S14,AL,14,0.00%,0.46,1669,-455,26:26:00,9.6,20.8,1.9,10.1,50,35.7,1.07,35.1,1.4,0.29,28.6,0.86,-0.6,-2507,2.64,0.07,4.2,30.5,1881,2.5,0.79,0.96
Ramboot Club,S14,ES,40,57.50%,1.09,1884,58,31:45:00,15.1,13.8,6.9,5.7,45,45,2.3,50.3,3.6,0.6,60,0.95,0.1,195,6.3,0.8,56.8,33.7,2481,3.5,1.32,1.63
Rare Atom,S14,CN,33,48.50%,1.04,1829,-53,32:52:00,13.8,13.3,5.5,6.3,54.5,27.3,2.36,50.1,2.4,0.48,48.5,-,-,-871,-,0.67,42.7,34.1,2431,3.6,1.3,1.59
Rebels Gaming,S14,ES,18,11.10%,0.47,1652,-341,32:05:00,8.2,17.6,3.2,9.4,55.6,38.9,1.5,30.9,1.2,0.39,38.9,0.89,-0.2,-849,2.67,0.11,4.6,31.7,2152,3.1,1.15,1.38
